Crew Id,Pilot Id,Pilot Crew Id, Pilot First Name, Pilot Last Name, Pilot Experience, Pilot Birth Date|, Stewardess Id, Stewardess Crew Id, Stewardess First Name, Stewardess Last Name, Stewardess Birth Date
1,1,1,Kody,Oberbrunner,26,10/30/2017 4:09:45 AM,1,1,Alyson,Koelpin,7/4/2018 8:20:33 PM
,,,,,,,76,1,Sheila,Jacobs,12/5/2017 2:19:49 PM
2,2,2,Carol,Howe,41,8/4/2017 1:03:25 PM,2,2,Bo,Kuhic,6/17/2018 1:19:39 AM
,,,,,,,77,2,Ari,Adams,10/13/2017 4:37:50 PM
3,3,3,Alena,Thompson,76,5/14/2018 7:01:44 AM,3,3,Stefan,Goyette,10/15/2017 9:24:58 AM
,,,,,,,78,3,Dejah,Homenick,2/21/2018 11:54:30 PM
4,4,4,Fritz,Kling,4,7/26/2017 10:33:54 AM,4,4,Una,Cole,10/3/2017 1:12:34 AM
,,,,,,,79,4,Donnie,Sanford,4/25/2018 10:22:21 AM
5,5,5,Marshall,Padberg,3,2/4/2018 1:52:55 PM,5,5,Lia,Effertz,2/1/2018 10:27:28 AM
,,,,,,,80,5,Annie,Howe,5/2/2018 9:15:03 AM
6,6,6,Virgil,Davis,14,10/8/2017 4:42:12 PM,6,6,Harmon,Yost,12/10/2017 8:35:42 AM
7,7,7,Bartholome,Lockman,23,4/10/2018 6:50:52 PM,7,7,Ellis,Adams,11/6/2017 5:23:52 PM
8,8,8,Rodrigo,Flatley,34,7/3/2018 5:14:57 PM,8,8,Lia,Monahan,12/1/2017 10:13:59 AM
9,9,9,Pearl,Rippin,57,5/17/2018 3:32:30 PM,9,9,Hans,Sipes,11/20/2017 2:06:52 AM
10,10,10,Derek,Emmerich,31,2/8/2018 7:38:51 AM,10,10,Maudie,Hilll,10/27/2017 5:15:06 AM
11,11,11,Blanca,Torphy,50,7/11/2018 4:06:26 PM,11,11,Belle,Goyette,3/30/2018 4:44:47 PM
12,12,12,Filomena,Maggio,4,3/7/2018 9:45:50 PM,12,12,Daisha,Abshire,6/30/2018 2:36:40 PM
13,13,13,Joaquin,Waelchi,43,8/27/2017 11:41:27 PM,13,13,Christa,Heaney,3/27/2018 9:37:34 AM
14,14,14,Maia,Moen,88,12/14/2017 8:24:43 AM,14,14,Lenore,Murphy,7/23/2017 12:58:21 PM
15,15,15,Antonette,Kulas,35,1/7/2018 8:10:11 PM,15,15,Mozell,Wyman,11/28/2017 5:17:51 PM
